,score
543,-11.666666666666666
544,-25.0
545,-18.333333333333332
546,-21.666666666666668
547,-21.666666666666668
548,-15.0
549,0.0
550,0.0
551,-22.5
552,-5.0
553,-15.0
554,-18.333333333333332
555,-15.0
556,-17.0
557,-15.0
558,-11.0
559,-10.0
560,-8.333333333333334
561,-15.0
562,-20.0
563,-18.333333333333332
564,-5.0
565,-7.0
566,-13.0
567,-15.0
568,-15.0
569,-11.666666666666666
570,-23.0
571,-7.5
572,-18.333333333333332
573,-5.0
574,-15.0
575,-17.0
576,-15.0
577,-20.0
578,-18.333333333333332
579,-12.5
580,-10.0
581,-21.0
582,-14.999999999999998
583,-15.0
584,-35.0
585,-10.0
586,-5.0
587,0.0
588,-25.0
589,-17.5
590,-10.0
591,-15.0
592,-15.0
593,-10.0
594,-5.0
595,-15.0
596,-18.333333333333332
597,-5.0
598,-12.5
599,-10.0
600,-5.0
601,-17.5
602,-15.0
603,-11.0
604,-14.999999999999998
605,-11.0
606,-15.0
607,-10.0
608,-20.0
609,-10.0
610,-18.333333333333332
611,-18.333333333333332
612,0.0
613,-10.0
614,-8.333333333333334
615,-12.5
616,-15.0
617,-17.0
618,-5.0
619,0.0
620,-10.0
621,-8.333333333333334
622,-19.0
623,0.0
624,-19.0
625,-15.0
626,-14.999999999999998
627,-21.666666666666668
628,-14.999999999999998
629,-5.0
630,-7.0
631,-10.0
632,-10.0
633,-5.0
634,-13.0
635,-8.333333333333334
636,-7.5
637,-17.5
638,-15.0
639,-5.0
640,-15.0
641,-7.0
642,0.0
643,0.0
644,-12.5
645,-11.0
646,-15.0
647,-20.0
648,-15.0
649,-11.666666666666666
650,-19.0
651,-15.0
652,-25.0
653,-17.0
654,-18.333333333333332
655,-5.0
656,-9.0
657,-14.999999999999998
658,-15.0
659,-17.5
660,-15.0
661,-15.0
662,0.0
663,-5.0
664,-8.333333333333334
665,-14.999999999999998
666,-10.0
667,-8.333333333333334
668,-9.0
669,10.0
670,-15.0
671,-10.0
672,-15.0
673,-7.0
674,-5.0
675,-11.666666666666666
676,-5.0
677,-15.0
678,-21.666666666666668
679,10.0
680,-15.0
681,0.0
682,-5.0
683,-2.5
684,-8.333333333333334
685,-22.5
686,-10.0
687,-14.999999999999998
688,-15.0
689,-12.5
690,-15.0
691,-15.0
692,-17.5
693,-21.666666666666668
694,-18.333333333333332
695,-14.999999999999998
696,-9.0
697,-20.0
698,-9.0
699,-27.0
700,-15.0
701,10.0
702,-5.0
703,-28.33333333333334
704,-12.5
705,-15.0
706,-14.999999999999998
707,-15.0
708,-25.0
709,-15.0
710,-10.0
711,-5.0
712,-15.0
713,-15.0
714,-4.440892098500626e-16
715,-5.0
716,0.0
717,-17.5
718,-10.0
719,-7.0
720,-22.5
721,-11.666666666666666
722,-20.0
723,-5.0
724,-5.0
725,-15.0
726,-5.0
727,-20.0
728,-8.333333333333334
729,10.0
730,-10.0
731,-21.666666666666668
732,-18.333333333333332
733,-5.0
734,-15.0
735,-23.0
736,-8.333333333333334
737,-5.0
738,-14.999999999999998
739,-5.0
740,-5.0
741,-7.0
742,-5.0
743,-13.0
744,10.0
745,-15.0
746,-11.0
747,-10.0
748,-31.666666666666675
749,-8.333333333333334
750,-13.0
751,-5.0
752,-5.0
753,-11.666666666666666
754,-17.5
755,5.0
756,-15.0
757,10.0
758,-11.0
759,-17.0
760,-7.0
761,-13.0
762,-17.5
763,-5.0
764,-15.0
765,-12.5
766,-25.000000000000004
767,-9.0
768,-19.0
769,-3.0
770,-11.0
771,-8.333333333333334
772,-7.5
773,-13.0
774,-7.5
775,-13.0
776,-5.0
777,-5.0
778,10.0
779,-7.5
780,-15.0
781,-5.0
782,0.0
783,-9.0
784,-25.0
785,-25.0
786,10.0
787,-5.0
788,-5.0
789,-5.0
790,-8.333333333333334
791,-14.999999999999998
792,-15.0
793,-9.0
794,-25.000000000000004
795,-11.0
796,-7.0
797,-5.0
798,1.6666666666666667
799,-7.5
800,-5.0
801,-5.0
802,0.0
803,-5.0
804,-5.0
805,10.0
806,-15.0
807,-5.0
808,-15.0
809,-20.0
810,-12.5
811,-11.666666666666666
812,-5.0
813,-5.0
814,-14.999999999999998
815,-17.5
816,-5.0
817,-13.0
818,-5.0
819,-25.0
